title,company,salary,description,openings,experience,education,englishlevel,gender,address,Education,English Level,Experience,Gender,Address
Relationship Manager,Td Newton & Associates,"400,000
						-
						760,000 ",,10,,,,,e,Graduate,Good English,Min. 3 Years,Both,"Gillander House, 8, Netaji Subhas Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001, Muragachha, Kolkata, West Bengal - 700080"
TEAM DEVELOPMENT MANAGER,Bajaj Allianz Life Insurance Company Limited,"19,000
						-
						73,000 ",,10,,,,,e,Graduate,Thoda English,Freshers only,Both,"Pune, Pune, Maharashtra - 411002"
Real Estate Sales Manager,Makaan Search Realty,"10,000
						-
						350,000 ",,10,,,,,e,Diploma,Thoda English,Min. 2 Years,Both,"Sector 65, Gurugram, Haryana 122102, India, Sector 62, Gurgaon, Delhi-NCR, Delhi - 110001"
Telecalling Team Leader,Kotak Mahindra Bank,"15,000
						-
						78,000 ",,10,,,,,e,12th Pass,Thoda English,Freshers can apply,Both,"Trichy, Trichy, Tamil Nadu - 620001"
Sales & Marketing Executive,Max Life Insurance,"10,000
						-
						75,000 ",,10,,,,,e,10th or Below 10th,Thoda English,Min. 1 Years,Both,"Madurai, Madurai, Tamil Nadu - 625001"
Sales & Marketing Executive,SBI LIFE Insurance company,"15,000
						-
						90,000 ",,50,,,,,e,12th Pass,Thoda English,Freshers can apply,Both,"Kalighat, Kolkata, West Bengal, India, West Bengal - 700080"
Game Developer,Bizfam India,"30,000
						-
						70,000 ",,10,,,,,e,12th Pass,Thoda English,Min. 2 Years,Both,"MLA Guest House, Banquet Hall (Weddingz.in Partner), Lucknow - Faizabad Road, Khand -2, Matiyari, Matyari Chauraha, Lucknow, Uttar Pradesh, India, Shahpur, Lucknow, Uttar Pradesh - 226001"
Sales Associate,Tata AIA,"35,000
						-
						95,000 ",,100,,,,,e,Graduate,Thoda English,Min. 3 Years,Both,"4, Mangoe Ln, Chowringhee North, Bow Barracks, Kolkata, West Bengal 700069, India, Dum Dum, Kolkata, West Bengal - 700080"
Sales Advisor,SBI LIFE Insurance company,"15,000
						-
						90,000 ",,50,,,,,e,12th Pass,Thoda English,Freshers only,Both,"Tollygunge, Kolkata, West Bengal, India, West Bengal - 700080"
Senior Doctor,Neelkanth Surgical And Medicos,"20,000
						-
						61,000 ",,10,,,,,e,Diploma,Good English,Freshers can apply,Both,"Ghantaghar, Kanpur, Uttar Pradesh 208001, India, General Ganj, Kanpur, Uttar Pradesh - 208001"
Sales Manager,Hdfc Life Insurance Company Limited,"25,000
						-
						60,000 ",,10,,,,,e,Graduate,Thoda English,Freshers only,Both,"Dwaraka nagar, Dwaraka Nagar, Visakhapatnam, Andhra Pradesh - 500020"
Insurance Manager,Bajaj Allianz Life Insurance Company Limited,"19,000
						-
						75,000 ",,10,,,,,e,Graduate,Thoda English,Freshers only,Both,"Dhanbad, Dhanbad, Jharkhand - 826001"
(Dubai) Data Entry Operator,,,,,,,,,e,,,,,
(Dubai) Data Entry Operator,,,,,,,,,e,,,,,
Business Development Manager (BDM),Eqwires Research Analyst,"25,000
						-
						95,000 ",,3,,,,,e,Graduate,Good English,Min. 3 Years,Both,"A-804 Dev aurum prahladnangar, Prahlad Nagar, Ahmedabad, Gujarat - 380001"
Food Delivery Boy,zomato Pvt Ltd,"35,000
						-
						52,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers only,Male Only,"73/Savitru elegance /WOC road Rajajinagar, Rajaji Nagar, Bengaluru, Karnataka - 560001"
Food Delivery Biker,ZOMATO PVT LTD,"35,000
						-
						52,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers only,Male Only,"D-506, AJRONDA SEC-15A FARIDABAD HARYANA-121001, Aniyaram, Kannur, Kerala - 670001"
(Dubai) Data Entry Operator,,,,,,,,,e,,,,,
Insurance Consultant,Bajaj Allianz Life Insurance Company Limited,"19,000
						-
						62,000 ",,10,,,,,e,12th Pass,Thoda English,Min. 10 Years,Both,"12/193, 100feet road arumbakkam chennai Near cmbt asian, opp. Federal Bank, SAF Games Village, Annai Sathya Nagar, Koyambedu, Chennai, Tamil Nadu 600106, India, Arumbakkam, Chennai, Tamil Nadu - 600001"
Food Delivery Biker,Zomato,"35,000
						-
						52,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers only,Male Only,"2nd Floor, 71, Anna Salai, Thiyagarajapuram Rd, Vellore, Tamil Nadu 632001, Bypass Road, Madurai, Tamil Nadu - 625001"
Life Insurance Retail Partner,Bajaj Allianz Life Insurance Company Limited,"19,000
						-
						84,000 ",,10,,,,,e,Graduate,Good English,Freshers can apply,Both,"Pune, Pune, Maharashtra - 411002"
(Malaysia) Technical Superintendent,Salesman Corporation Private Limited Opc,"90,000
						-
						99,999 ",,10,,,,,e,Diploma,Thoda English,Min. 2 Years,Both,"Lucknow, Lucknow, Uttar Pradesh - 226001"
Bike Rider,Rapido,"35,000
						-
						50,000 ",,100,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"Madhapur, Hyderabad, Telangana, India, Telangana - 500001"
Delivery Boy,Sun Rise Manpower Solutions,"40,000
						-
						51,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"Electronic city, Electronic City, Bangalore, Bengaluru, Karnataka - 560001"
Insurance Sales Executive,Bajaj Allianz Life Insurance Company Limited,"19,000
						-
						75,000 ",,10,,,,,e,Graduate,Good English,Freshers only,Both,"Cuttack, Cuttack, Odisha - 753001"
Food Delivery Boy,zomato Pvt Ltd,"35,000
						-
						52,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers only,Male Only,"#24,14TH Main Road, HSR Layout, Bengaluru, Karnataka - 560001"
Finance Analyst,Design2Occupancy Services Llp,"30,000
						-
						48,000 ",,10,,,,,e,Post Graduate,Good English,Min. 5 Years,Both,"4th floor, Block No. 11 & 12, Udyog Bhavan, Sector -11, Gandhinagar, Gujarat 382017, Tagore Park, Ahmedabad, Gujarat - 380001"
Sales & Marketing Manager,SCMS Haat Eservices,"10,000
						-
						53,000 ",,10,,,,,e,12th Pass,Good English,Min. 1 Years,Both,"Gurudwara Gali, Budh Vihar, Fraser Road Area, Patna, Bihar 800001, India, Fraser Road, Patna, Bihar - 800001"
Sales Agent,Hdfc Life Insurance Company Limited,"3,000
						-
						55,000 ",,10,,,,,e,12th Pass,Thoda English,Freshers can apply,Both,"10-7-47, Siripuram Cir, Siripuram Junction, Ram Nagar, Visakhapatnam, Andhra Pradesh 530003, India, Siripuram, Visakhapatnam, Andhra Pradesh - 500020"
Python AWS Trainer,Buckstox Digital Services,"10,000
						-
						50,000 ",,10,,,,,e,Graduate,Good English,Min. 2 Years,Both,"Indore, Indore, Madhya Pradesh - 451010"
Retail Partner,Bajaj Allianz Life Insurance Company Limited,"19,000
						-
						93,000 ",,10,,,,,e,Graduate,Thoda English,Freshers only,Both,"Bhubaneswar, Bhubaneswar, Odisha - 750017"
Retail Partner,Bajaj Allianz Life Insurance Company Limited,"19,000
						-
						77,000 ",,10,,,,,e,Graduate,Thoda English,Freshers can apply,Both,"Panipat, Panipat, Haryana - 132103"
Junior Manager,Bharti Axa Life Insurance Company Limited,"20,000
						-
						70,000 ",,10,,,,,e,Graduate,No English,Freshers can apply,Both,"2, Shakespeare Sarani Rd, Elgin, Kolkata, West Bengal 700071, India, Shakespeare Sarani Rd, Kolkata, West Bengal - 700080"
